round,mean_loss,mean_epsilon,test_auroc
1,76123325149.10106,1.19679815697251,0.2860216546363132
2,76121492832.6916,1.19679815697251,0.28598695169350363
3,76112665872.49205,1.19679815697251,0.28598695169350363
4,76469591859.46895,1.19679815697251,0.285952248750694
5,76107474235.13054,1.19679815697251,0.28598695169350363
6,76106625962.125,1.19679815697251,0.2859869516935036
7,76107024576.49904,1.19679815697251,0.2860216546363131
8,76107791133.27988,1.19679815697251,0.2860216546363131
9,76123214764.24086,1.19679815697251,0.2860563575791227
10,88086902703.18248,1.19679815697251,0.2860216546363131
