system,auroc,prauc,f2,mcc,tp,fp,fn
Layer 1 Only (ML Ensemble),0.9998958911715714,0.9901315789473684,0.9259259259259259,0.9086835632737272,15,2,1
Layer 2 Only (Autoencoder),0.304553026096613,0.006307110264703711,0.04253056884635832,0.0,16,1801,0
Layer 3 Only (Sim Network),0.9639089394780677,0.1095890410958904,0.38095238095238093,0.31887093261447613,16,130,0
Fused — All Three Layers,0.9999305941143809,0.9930555555555556,0.9375,0.9369447529150472,15,1,1
