rank,feature,gain_importance,cumulative_pct,cohens_d,abs_d,effect_size
1,F3898,237,3.2541535081697104,-0.5321622275683262,0.5321622275683262,medium
2,F3348_missing,119,4.888095565014417,0.8537303837157509,0.8537303837157509,large
3,F3914,108,6.371000961142387,-0.5499519182752635,0.5499519182752635,medium
4,F3043,108,7.853906357270356,-0.09636361121340759,0.09636361121340759,negligible
5,F3395_missing,90,9.089660854043663,0.48477110405590884,0.48477110405590884,small
6,F3919,78,10.16064808458053,0.29060026428673374,0.29060026428673374,small
7,F1279,78,11.231635315117398,-0.044612231479335546,0.044612231479335546,negligible
8,F1909,78,12.302622545654264,-0.08304002746681868,0.08304002746681868,negligible
9,F3493,78,13.373609776191131,-0.08795201869080488,0.08795201869080488,negligible
10,F3907,74,14.389674584649184,-0.24262569462787428,0.24262569462787428,small
11,F270,73,15.392008787587534,1.0705394534259152,1.0705394534259152,large
12,F1923,70,16.353151173966772,-0.046642580129195844,0.046642580129195844,negligible
13,F2384,67,17.2731017437869,-0.017935076399996273,0.017935076399996273,negligible
14,F3799,65,18.165591102567625,-0.07408759714417652,0.07408759714417652,negligible
15,F3805,64,19.044349855828642,-0.07251070873890403,0.07251070873890403,negligible
16,F2182,63,19.90937800356996,0.7807733481929026,0.7807733481929026,medium
17,F3535,63,20.774406151311272,-0.18058419550948981,0.18058419550948981,negligible
18,F156,63,21.63943429905259,0.32771027993449864,0.32771027993449864,small
19,F1921,62,22.4907318412742,-0.04856731908527652,0.04856731908527652,negligible
20,F3798,61,23.32829877797611,-0.18778877124266163,0.18778877124266163,negligible
21,composite_risk_score,58,24.124673898118907,0.1098330827170449,0.1098330827170449,negligible
22,F3908,57,24.907318412742,0.9920537070854576,0.9920537070854576,large
23,F2032,56,25.676232321845394,0.4302313289656752,0.4302313289656752,small
24,F3484,53,26.403954414389673,0.3134538703038035,0.3134538703038035,small
25,F950,51,27.10421529589455,-0.044361100948848056,0.044361100948848056,negligible
26,F2949,51,27.804476177399422,-0.18298884090708412,0.18298884090708412,negligible
27,F2489,50,28.491006453384593,-0.01245592887233537,0.01245592887233537,negligible
28,F1249,49,29.163806123850062,-0.03346490684798968,0.03346490684798968,negligible
29,F3801,49,29.83660579431553,-0.07310806191774213,0.07310806191774213,negligible
30,F2737,48,30.495674859261296,-0.010168124428219679,0.010168124428219679,negligible
31,F3703,43,31.086090896608543,-0.11333984647346732,0.11333984647346732,negligible
32,F3781,43,31.67650693395579,-0.027296377446985584,0.027296377446985584,negligible
33,F935,42,32.25319236578333,-0.4061690971603139,0.4061690971603139,small
34,F406,41,32.81614719209117,-0.14845303968989232,0.14845303968989232,negligible
35,F949,41,33.37910201839901,-0.0490883086840006,0.0490883086840006,negligible
